prerequisite_id,guide,portfolio_or_guide,prerequisite,primary_status,supporting_evidence,analysis,required_before_activation,required_before_mapping,required_before_implementation,blocking_effect_if_absent,associated_condition,associated_warning,associated_gap,future_authority_required
CGP006-W1-ACT-PREREQ-ES_CG_13-GO-OWN,ES-CG-13,GUIDE,Governance ownership named for activation scope,FOUNDER_DECISION_REQUIRED,FOUNDER_DECISION_REQUIRED,Founder must name the accountable activation owner before any activation decision.,YES,NO,NO,ACTIVATION_BLOCKING_UNTIL_FOUNDER_DECIDES,NONE,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,NONE,FOUNDER_DECISION_REQUIRED
CGP006-W1-ACT-PREREQ-ES_CG_13-APP-AUTH,ES-CG-13,GUIDE,Activation approval authority established,FOUNDER_DECISION_REQUIRED,FOUNDER_DECISION_REQUIRED,A separate Founder activation directive is required.,YES,NO,NO,ACTIVATION_BLOCKING_UNTIL_FOUNDER_DECIDES,NONE,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,NONE,FOUNDER_DECISION_REQUIRED
CGP006-W1-ACT-PREREQ-ES_CG_13-SCOPE,ES-CG-13,GUIDE,Activation scope and exclusions defined,PARTIALLY_SATISFIED,This package documents the proposed model; Founder approval and future owner assignment remain pending.,This package proposes scope and exclusions; Founder approval remains pending.,YES,NO,NO,ACTIVATION_DECISION_CONDITION,NONE,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,NONE,FOUNDER_ACTIVATION_DECISION_REQUIRED
CGP006-W1-ACT-PREREQ-ES_CG_13-COND,ES-CG-13,GUIDE,Five adoption conditions preserved,SATISFIED_WITH_VERIFIED_EVIDENCE,governance/implementation/code-guides/receipts/CGP_006_WAVE_1_CONDITIONAL_ADOPTION_CUSTODY_RECEIPT.md;governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ADOPTION_READINESS_REVIEW_V1/CGP_006_WAVE_1_ADOPTION_READINESS_REVIEW_CHECKSUMS.sha256,Condition records were located in the adoption package and custody receipt.,YES,NO,NO,NONE_IF_EVIDENCE_REMAINS_VERIFIED,CGP006-AR-COND-0001;CGP006-AR-COND-0005,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,NONE,NONE_FOR_DOCUMENTARY_READINESS_IF_EVIDENCE_REMAINS_VERIFIED
CGP006-W1-ACT-PREREQ-ES_CG_13-WARN,ES-CG-13,GUIDE,Five retained warnings carried forward,SATISFIED_WITH_VERIFIED_EVIDENCE,governance/implementation/code-guides/receipts/CGP_006_WAVE_1_CONDITIONAL_ADOPTION_CUSTODY_RECEIPT.md;governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ADOPTION_READINESS_REVIEW_V1/CGP_006_WAVE_1_ADOPTION_READINESS_REVIEW_CHECKSUMS.sha256,"Warning records were located, reviewed, and preserved as open.",YES,NO,NO,NONE_IF_EVIDENCE_REMAINS_VERIFIED,CGP006-AR-COND-0001,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,NONE,NONE_FOR_DOCUMENTARY_READINESS_IF_EVIDENCE_REMAINS_VERIFIED
CGP006-W1-ACT-PREREQ-ES_CG_13-GAP,ES-CG-13,GUIDE,GAP-0004 carried open with implementation evidence requirement,SATISFIED_WITH_VERIFIED_EVIDENCE,governance/implementation/code-guides/receipts/CGP_006_WAVE_1_CONDITIONAL_ADOPTION_CUSTODY_RECEIPT.md;governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ADOPTION_READINESS_REVIEW_V1/CGP_006_WAVE_1_ADOPTION_READINESS_REVIEW_CHECKSUMS.sha256,GAP-0004 records were located and remain open.,YES,NO,NO,NONE_IF_EVIDENCE_REMAINS_VERIFIED,CGP006-AR-COND-0002,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,CGP005-TA-APP-GAP-0004,NONE_FOR_DOCUMENTARY_READINESS_IF_EVIDENCE_REMAINS_VERIFIED
CGP006-W1-ACT-PREREQ-ES_CG_13-EVID-CUST,ES-CG-13,GUIDE,Evidence custody procedure defined,PARTIALLY_SATISFIED,This package documents the proposed model; Founder approval and future owner assignment remain pending.,Package manifests and checksum rules exist; future evidence custody owners still require Founder assignment.,YES,NO,NO,ACTIVATION_DECISION_CONDITION,NONE,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,NONE,FOUNDER_ACTIVATION_DECISION_REQUIRED
CGP006-W1-ACT-PREREQ-ES_CG_13-VAL,ES-CG-13,GUIDE,Validation capability for documentary package exists,SATISFIED_WITH_VERIFIED_EVIDENCE,governance/implementation/code-guides/receipts/CGP_006_WAVE_1_CONDITIONAL_ADOPTION_CUSTODY_RECEIPT.md;governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ADOPTION_READINESS_REVIEW_V1/CGP_006_WAVE_1_ADOPTION_READINESS_REVIEW_CHECKSUMS.sha256,Package-local validator and tests are included in this workstream.,YES,NO,NO,NONE_IF_EVIDENCE_REMAINS_VERIFIED,NONE,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,NONE,NONE_FOR_DOCUMENTARY_READINESS_IF_EVIDENCE_REMAINS_VERIFIED
CGP006-W1-ACT-PREREQ-ES_CG_13-OPS,ES-CG-13,GUIDE,Operating procedures for activated use,NOT_SATISFIED,PLANNED_NOT_CREATED,No activation operating procedure is approved under this directive.,YES,NO,NO,ACTIVATION_BLOCKING_UNTIL_CREATED_AND_APPROVED,NONE,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,NONE,FOUNDER_ACTIVATION_DECISION_OR_SEPARATE_GOVERNANCE_DIRECTIVE_REQUIRED
CGP006-W1-ACT-PREREQ-ES_CG_13-TRAIN,ES-CG-13,GUIDE,Training and reliance instructions,NOT_SATISFIED,PLANNED_NOT_CREATED,No training record or reliance instruction is created under this documentary workstream.,YES,NO,NO,ACTIVATION_BLOCKING_UNTIL_CREATED_AND_APPROVED,NONE,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,NONE,FOUNDER_ACTIVATION_DECISION_OR_SEPARATE_GOVERNANCE_DIRECTIVE_REQUIRED
CGP006-W1-ACT-PREREQ-ES_CG_13-EXC,ES-CG-13,GUIDE,Exception handling and escalation path,FOUNDER_DECISION_REQUIRED,FOUNDER_DECISION_REQUIRED,Exception handling must be named in a future activation decision.,YES,NO,NO,ACTIVATION_BLOCKING_UNTIL_FOUNDER_DECIDES,NONE,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,NONE,FOUNDER_DECISION_REQUIRED
CGP006-W1-ACT-PREREQ-ES_CG_13-MON,ES-CG-13,GUIDE,"Monitoring, review cadence, suspension, and deactivation process",PARTIALLY_SATISFIED,This package documents the proposed model; Founder approval and future owner assignment remain pending.,This package proposes cadence and triggers; Founder approval remains pending.,YES,NO,NO,ACTIVATION_DECISION_CONDITION,NONE,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,NONE,FOUNDER_ACTIVATION_DECISION_REQUIRED
CGP006-W1-ACT-PREREQ-ES_CG_13-IMAP,ES-CG-13,GUIDE,Implementation mapping authority and prerequisites,SEPARATE_AUTHORITY_REQUIRED,SEPARATE_AUTHORITY_REQUIRED,Implementation mapping is expressly outside this directive.,YES,YES_IF_MAPPING_RELATED,YES_IF_IMPLEMENTATION_RELATED,BLOCKS_MAPPING_IMPLEMENTATION_OR_EVIDENCE_COLLECTION,CGP006-AR-COND-0003,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,NONE,SEPARATE_AUTHORITY_REQUIRED
CGP006-W1-ACT-PREREQ-ES_CG_13-IMPL,ES-CG-13,GUIDE,Implementation evidence prerequisites,IMPLEMENTATION_DEPENDENT,IMPLEMENTATION_DEPENDENT,Implementation evidence can exist only after separate mapping and implementation authority.,YES,YES_IF_MAPPING_RELATED,YES_IF_IMPLEMENTATION_RELATED,BLOCKS_IMPLEMENTATION_OR_OPERATIONAL_ACTIVATION,CGP006-AR-COND-0004,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,CGP005-TA-APP-GAP-0004,SEPARATE_IMPLEMENTATION_AUTHORITY_REQUIRED
CGP006-W1-ACT-PREREQ-ES_CG_13-RUN,ES-CG-13,GUIDE,Runtime evidence prerequisites,RUNTIME_DEPENDENT,RUNTIME_DEPENDENT,Runtime evidence can exist only after authorized runtime operation.,YES,YES_IF_MAPPING_RELATED,YES_IF_IMPLEMENTATION_RELATED,BLOCKS_RUNTIME_RELIANCE,CGP006-AR-COND-0004,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,CGP005-TA-APP-GAP-0004,SEPARATE_RUNTIME_OR_OPERATIONAL_AUTHORITY_REQUIRED
CGP006-W1-ACT-PREREQ-PORTFOLIO-CGP006-AR-COND-0001,PORTFOLIO,PORTFOLIO,"Carry CGP006-CLF-0001 through CGP006-CLF-0005 as retained open non-blocking warning records through adoption, activation readiness, implementation mapping, and implementation review.",SATISFIED_WITH_VERIFIED_EVIDENCE,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ADOPTION_READINESS_REVIEW_V1/registers/CGP_006_WAVE_1_ADOPTION_CONDITION_REGISTER.csv;governance/implementation/code-guides/receipts/CGP_006_WAVE_1_CONDITIONAL_ADOPTION_CUSTODY_RECEIPT.md,Five CGP-006 classification warnings remain open and must not be suppressed by adoption.,CARRY_FORWARD_REQUIRED,NO_IF_WARNINGS_ARE_CARRIED,NO_IF_WARNINGS_ARE_CARRIED,ACTIVATION_BLOCKING_IF_NOT_CARRIED_OR_RESOLVED,CGP006-AR-COND-0001,CGP006-CLF-0001;CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,NONE,REQUIRED_TO_CLOSE_WARNING; NOT_REQUIRED_TO_CONSIDER_CONDITIONAL_ADOPTION
CGP006-W1-ACT-PREREQ-PORTFOLIO-CGP006-AR-COND-0002,PORTFOLIO,PORTFOLIO,"Before activation, produce authorized activation and operational evidence or carry an explicit activation-blocking determination.",PARTIALLY_SATISFIED,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ADOPTION_READINESS_REVIEW_V1/registers/CGP_006_WAVE_1_ADOPTION_CONDITION_REGISTER.csv;governance/implementation/code-guides/receipts/CGP_006_WAVE_1_CONDITIONAL_ADOPTION_CUSTODY_RECEIPT.md,"CGP005-TA-APP-GAP-0004 requires implementation, provider, pilot, production, activation, and operational evidence that cannot exist in this documentary review.",YES,YES_UNTIL_SEPARATELY_REVIEWED,YES,ACTIVATION_BLOCKING_IF_NOT_CARRIED_OR_RESOLVED,CGP006-AR-COND-0002,NONE,CGP005-TA-APP-GAP-0004,REQUIRED_FOR_GAP_CLOSURE_OR_ACTIVATION_AUTHORITY
CGP006-W1-ACT-PREREQ-PORTFOLIO-CGP006-AR-COND-0003,PORTFOLIO,PORTFOLIO,"Before implementation mapping, issue separate authority and map adopted controls/invariants to evidence obligations without changing source baseline.",PARTIALLY_SATISFIED,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ADOPTION_READINESS_REVIEW_V1/registers/CGP_006_WAVE_1_ADOPTION_CONDITION_REGISTER.csv;governance/implementation/code-guides/receipts/CGP_006_WAVE_1_CONDITIONAL_ADOPTION_CUSTODY_RECEIPT.md,No implementation mapping authority exists under this directive.,CARRY_FORWARD_REQUIRED,YES,YES,ACTIVATION_BLOCKING_IF_NOT_CARRIED_OR_RESOLVED,CGP006-AR-COND-0003,NONE,NONE,REQUIRED_TO_AUTHORIZE_IMPLEMENTATION_MAPPING
CGP006-W1-ACT-PREREQ-PORTFOLIO-CGP006-AR-COND-0004,PORTFOLIO,PORTFOLIO,"Before implementation, obtain separate implementation authority and produce implementation evidence responsive to GAP-0004.",PARTIALLY_SATISFIED,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ADOPTION_READINESS_REVIEW_V1/registers/CGP_006_WAVE_1_ADOPTION_CONDITION_REGISTER.csv;governance/implementation/code-guides/receipts/CGP_006_WAVE_1_CONDITIONAL_ADOPTION_CUSTODY_RECEIPT.md,No implementation authority or implementation evidence exists under this directive.,CARRY_FORWARD_REQUIRED,YES_UNTIL_MAPPING_AUTHORITY_EXISTS,YES,ACTIVATION_BLOCKING_IF_NOT_CARRIED_OR_RESOLVED,CGP006-AR-COND-0004,NONE,NONE,REQUIRED_FOR_IMPLEMENTATION_AUTHORITY_AND_GAP_CLOSURE
CGP006-W1-ACT-PREREQ-PORTFOLIO-CGP006-AR-COND-0005,PORTFOLIO,PORTFOLIO,Preserve frozen normative rows as the sole adoption authority and keep PR #23 plus CGP-005 appendix material contextual unless separately promoted by authorized source governance.,SATISFIED_WITH_VERIFIED_EVIDENCE,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ADOPTION_READINESS_REVIEW_V1/registers/CGP_006_WAVE_1_ADOPTION_CONDITION_REGISTER.csv;governance/implementation/code-guides/receipts/CGP_006_WAVE_1_CONDITIONAL_ADOPTION_CUSTODY_RECEIPT.md,Reference and contextual sources influence review but remain non-normative.,YES,YES_IF_SOURCE_PROMOTION_IS_REQUIRED,YES_IF_SOURCE_PROMOTION_IS_REQUIRED,ACTIVATION_BLOCKING_IF_NOT_CARRIED_OR_RESOLVED,CGP006-AR-COND-0005,NONE,NONE,REQUIRED_FOR_SOURCE_PROMOTION_OR_FREEZE_AMENDMENT
