"domain","requirement_id","requirement","source_ids","acceptance_id","positive_test_id","negative_or_abuse_test_id","planned_evidence_id","traceability_state"
"Relationships","REL-REQ-041","Ending a relationship SHALL prospectively remove its operational effects while preserving historical authorship, evidence, accrued obligations, and prior valid actions.","REL-SRC-003;REL-SRC-011","REL-REQ-041-AC-SR","REL-REQ-041-DOC-POS-SR","REL-REQ-041-DOC-NEG-SR","REL-REQ-041-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-042","Reactivation SHALL reevaluate current identity, relationship, agreement, restrictions, and permission state rather than restoring former access automatically.","REL-SRC-003;REL-SRC-006;REL-SRC-007","REL-REQ-042-AC-SR","REL-REQ-042-DOC-POS-SR","REL-REQ-042-DOC-NEG-SR","REL-REQ-042-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-043","Relationship changes SHALL generate structured audit events recording prior state, new state, actor, authority source, effective time, reason, and evidence references.","REL-SRC-014","REL-REQ-043-AC-SR","REL-REQ-043-DOC-POS-SR","REL-REQ-043-DOC-NEG-SR","REL-REQ-043-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-044","Relationship search and discovery SHALL expose only minimum information needed for the active workflow and SHALL NOT reveal unrelated tenant, guardian, ownership, dispute, or safeguarding data.","REL-SRC-004;REL-SRC-009","REL-REQ-044-AC-SR","REL-REQ-044-DOC-POS-SR","REL-REQ-044-DOC-NEG-SR","REL-REQ-044-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-045","High-risk relationship changes SHALL require stronger assurance, explicit authority, and additional review or approval as defined by Identity and Authorization controls.","REL-SRC-006;REL-SRC-007","REL-REQ-045-AC-SR","REL-REQ-045-DOC-POS-SR","REL-REQ-045-DOC-NEG-SR","REL-REQ-045-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-046","Relationship creation, acceptance, revocation, dispute, and termination requiring authoritative state SHALL complete online and SHALL NOT rely solely on stale offline state.","REL-SRC-007","REL-REQ-046-AC-SR","REL-REQ-046-DOC-POS-SR","REL-REQ-046-DOC-NEG-SR","REL-REQ-046-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-048","The platform SHALL monitor unusual delegation volume, repeated failed relationship claims, conflicting ownership assertions, stale revocation propagation, and privileged relationship changes.","REL-SRC-014","REL-REQ-048-AC-SR","REL-REQ-048-DOC-POS-SR","REL-REQ-048-DOC-NEG-SR","REL-REQ-048-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-049","Every first-user relationship requirement SHALL map to acceptance criteria, positive tests, negative or abuse tests where applicable, and preserved evidence.","REL-SRC-002","REL-REQ-049-AC-SR","REL-REQ-049-DOC-POS-SR","REL-REQ-049-DOC-NEG-SR","REL-REQ-049-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-054","Legal title, beneficial interest, custody, operational control, care responsibility, financial responsibility, and record stewardship SHALL remain distinguishable.","REL-SRC-003;REL-SRC-012","REL-REQ-054-AC-SR","REL-REQ-054-DOC-POS-SR","REL-REQ-054-DOC-NEG-SR","REL-REQ-054-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-055","Verification SHALL be claim-specific, evidence-specific, purpose-specific, and time-bounded; it SHALL NOT create a universal verified status.","REL-SRC-003;REL-SRC-010","REL-REQ-055-AC-SR","REL-REQ-055-DOC-POS-SR","REL-REQ-055-DOC-NEG-SR","REL-REQ-055-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-056","Delegation and dependent authority SHALL preserve an explicit source-authority dependency graph and the exact source versions used for activation and action evaluation.","REL-SRC-003;REL-SRC-007;REL-SRC-014","REL-REQ-056-AC-SR","REL-REQ-056-DOC-POS-SR","REL-REQ-056-DOC-NEG-SR","REL-REQ-056-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-057","Delegation dependency cycles SHALL be prohibited and detected before activation and during every material dependency change.","REL-SRC-003;REL-SRC-007","REL-REQ-057-AC-SR","REL-REQ-057-DOC-POS-SR","REL-REQ-057-DOC-NEG-SR","REL-REQ-057-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-058","A material change to an accepted delegation SHALL create a new immutable grant version or replacement grant rather than silently mutating the accepted scope.","REL-SRC-003;REL-SRC-014","REL-REQ-058-AC-SR","REL-REQ-058-DOC-POS-SR","REL-REQ-058-DOC-NEG-SR","REL-REQ-058-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-059","Delegation renewal SHALL revalidate current source authority, restrictions, assurance, and protected-participant constraints and SHALL require fresh acceptance when material duties or risks change.","REL-SRC-003;REL-SRC-007;REL-SRC-009","REL-REQ-059-AC-SR","REL-REQ-059-DOC-POS-SR","REL-REQ-059-DOC-NEG-SR","REL-REQ-059-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-061","Relationship visibility SHALL be produced through purpose-specific privacy projections and SHALL not expose the full relationship graph by default.","REL-SRC-004;REL-SRC-009","REL-REQ-061-AC-SR","REL-REQ-061-DOC-POS-SR","REL-REQ-061-DOC-NEG-SR","REL-REQ-061-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-062","Consequential actions SHALL record the exact relationship, delegation, source-authority, restriction, and type-registry versions used by Authorization.","REL-SRC-007;REL-SRC-014","REL-REQ-062-AC-SR","REL-REQ-062-DOC-POS-SR","REL-REQ-062-DOC-NEG-SR","REL-REQ-062-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-064","Relationship events and audit evidence SHALL be emitted atomically with the authoritative mutation or the mutation SHALL fail closed or enter a controlled quarantine state.","REL-SRC-014","REL-REQ-064-AC-SR","REL-REQ-064-DOC-POS-SR","REL-REQ-064-DOC-NEG-SR","REL-REQ-064-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-066","Retroactive correction SHALL preserve the recorded history and SHALL NOT erase actions validly attributable under the prior known state.","REL-SRC-011;REL-SRC-014","REL-REQ-066-AC-SR","REL-REQ-066-DOC-POS-SR","REL-REQ-066-DOC-NEG-SR","REL-REQ-066-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-067","Self-verification, self-approval, and self-delegation in high-risk relationship workflows SHALL be prohibited or routed to an expressly governed independent review path.","REL-SRC-004;REL-SRC-007","REL-REQ-067-AC-SR","REL-REQ-067-DOC-POS-SR","REL-REQ-067-DOC-NEG-SR","REL-REQ-067-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
