record_id,artifact_path,artifact_name,artifact_family,package_id,classification,authority_effect,classification_basis,classification_evidence,controlling_status,lifecycle_status,approval_status,adoption_status,version,supersedes,superseded_by,canonical_path,source_path,selected_in_cgp_005,cgp_005_selection_type,code_guide_dependency,affected_code_guides,change_effect,review_required,source_hash,package_hash,baseline_commit,last_reviewed_commit,notes
"DACR-0026","ES-TA-FD-004","Production storage fails closed; no local_dev_stub","Technical Audit Founder Decisions","ES-TA-FD-001-008-V1.1.0","GOVERNANCE_AUTHORITY","GOVERNANCE_WITH_NORMATIVE_EFFECT","Creates mandatory production-behavior constraint for storage and upload/document features.","Founder approval record; decision register; packet final disposition","CONTROLLING","APPROVED","FOUNDER_APPROVED","NOT_APPLICABLE","V1.1.0","","","governance/implementation/technical-audit/founder-decisions/ES-TA-FD-001-008-V1.1.0/","decision packet source","NO","GOVERNING_CONSTRAINT","Testing, evidence, operations, release","ES-CG-10;ES-CG-13;later ES-CG-04;ES-CG-11;ES-CG-12","FREEZE_APPENDIX_REQUIRED","YES","","","3eb6825091241709f255b8ccf296987fa9b20724","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Sensitive files and signed documents must not use uncontrolled local storage."
"DACR-0027","ES-TA-FD-005","Dedicated worker or database-backed lease for background jobs","Technical Audit Founder Decisions","ES-TA-FD-001-008-V1.1.0","GOVERNANCE_AUTHORITY","GOVERNANCE_WITH_NORMATIVE_EFFECT","Creates mandatory job-leadership and duplicate-execution control requirement before pilot-visible scheduled jobs.","Founder approval record; decision register; packet final disposition","CONTROLLING","APPROVED","FOUNDER_APPROVED","NOT_APPLICABLE","V1.1.0","","","governance/implementation/technical-audit/founder-decisions/ES-TA-FD-001-008-V1.1.0/","decision packet source","NO","GOVERNING_CONSTRAINT","Testing, evidence, operations","ES-CG-10;ES-CG-13;later ES-CG-06;ES-CG-11","FREEZE_APPENDIX_REQUIRED","YES","","","3eb6825091241709f255b8ccf296987fa9b20724","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Pilot-visible scheduled jobs remain disabled unless verified."
"DACR-0028","ES-TA-FD-006","Online-first limited actor-bound field recovery","Technical Audit Founder Decisions","ES-TA-FD-001-008-V1.1.0","GOVERNANCE_AUTHORITY","GOVERNANCE_WITH_NORMATIVE_EFFECT","Constrains offline scope, replay authorization, cached data, recovery behavior, and native pilot distribution boundaries.","Founder approval record; decision register; packet final disposition","CONTROLLING","APPROVED","FOUNDER_APPROVED","NOT_APPLICABLE","V1.1.0","","","governance/implementation/technical-audit/founder-decisions/ES-TA-FD-001-008-V1.1.0/","decision packet source","NO","GOVERNING_CONSTRAINT","Authority, evidence, offline, web/mobile","ES-CG-01;ES-CG-13;ES-CG-10;later ES-CG-05;ES-CG-07","FREEZE_APPENDIX_REQUIRED","YES","","","3eb6825091241709f255b8ccf296987fa9b20724","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Preserves online-first and limited field recovery; full offline remains unauthorized."
"DACR-0029","ES-TA-FD-007","Production-ready DocuSign with provider-neutral legal e-signature adapter","Technical Audit Founder Decisions","ES-TA-FD-001-008-V1.1.0","GOVERNANCE_AUTHORITY","GOVERNANCE_WITH_NORMATIVE_EFFECT","Creates mandatory DocuSign readiness pilot gate and provider-neutral adapter/domain contract requirement.","Founder approval record; decision register; packet final disposition","CONTROLLING","APPROVED","FOUNDER_APPROVED","NOT_APPLICABLE","V1.1.0","","","governance/implementation/technical-audit/founder-decisions/ES-TA-FD-001-008-V1.1.0/","decision packet source","NO","GOVERNING_CONSTRAINT","Authority, evidence, provider, release","ES-CG-01;ES-CG-13;ES-CG-10;later ES-CG-06;ES-CG-09;ES-CG-12","FREEZE_APPENDIX_REQUIRED","YES","","","3eb6825091241709f255b8ccf296987fa9b20724","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","No pilot enrollment until readiness package and exact Founder activation approval."
"DACR-0030","ES-TA-FD-008","Controlled web, PWA, and private native beta pilot channel","Technical Audit Founder Decisions","ES-TA-FD-001-008-V1.1.0","GOVERNANCE_AUTHORITY","GOVERNANCE_WITH_NORMATIVE_EFFECT","Controls pilot channel architecture and implementation sequencing; prohibits public app-store release and other activation without separate authority.","Founder approval record; decision register; packet final disposition","CONTROLLING","APPROVED","FOUNDER_APPROVED","NOT_APPLICABLE","V1.1.0","","","governance/implementation/technical-audit/founder-decisions/ES-TA-FD-001-008-V1.1.0/","decision packet source","NO","GOVERNING_CONSTRAINT","Authority, evidence, web/mobile, release","ES-CG-00;ES-CG-01;ES-CG-13;later ES-CG-07;ES-CG-12","FREEZE_APPENDIX_REQUIRED","YES","","","3eb6825091241709f255b8ccf296987fa9b20724","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Private native beta preparation is not tester enrollment or pilot enrollment."
"DACR-0031","governance/implementation/deployment-control/2026-07-26-release-branch-separation/AUTOMATIC_PRODUCTION_PROMOTION_CLOSURE_RECORD.md","Automatic production promotion closure record","Deployment Control","ES-AUTOMATIC-PRODUCTION-PROMOTION-CLOSURE-2026-07-26-01","GOVERNANCE_AUTHORITY","GOVERNANCE_WITH_NORMATIVE_EFFECT","Changes release posture by separating integration from production promotion and preserving required release authorization.","Final accepted determination AUTOMATIC_PRODUCTION_PROMOTION_CLOSED_WITH_PROTECTED_RELEASE_BRANCH","CONTROLLING","INTEGRATED","PROGRAM_APPROVED","NOT_APPLICABLE","2026-07-26","","","governance/implementation/deployment-control/2026-07-26-release-branch-separation/AUTOMATIC_PRODUCTION_PROMOTION_CLOSURE_RECORD.md","repository-generated closure record","NO","GOVERNING_CONSTRAINT","Release and activation boundary","ES-CG-13;later ES-CG-12","CGP_006_INPUT_REFRESH_REQUIRED","YES","25242ad071ff3d148619a4a46022823bd21fe4b208e8e981902d9577fa02f236","35527480a455fdef4dbbb87f048c539143c02517c162a321779110ed340ac1fa","ff2748796bf858f49a3f85bad0578850e1deb846","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Branch separation only; does not approve production release."
"DACR-0032","governance/implementation/deployment-control/2026-07-26-release-branch-separation/PRODUCTION_RELEASE_PROCEDURE.md","Production release procedure","Deployment Control","ES-AUTOMATIC-PRODUCTION-PROMOTION-CLOSURE-2026-07-26-01","GOVERNANCE_AUTHORITY","GOVERNANCE_WITH_NORMATIVE_EFFECT","Defines mandatory future production release workflow and exact Founder production-release authorization requirement.","Procedure status ACTIVE_RELEASE_BRANCH_MODEL_WITH_SEPARATE_RELEASE_AUTHORIZATION_REQUIRED","CONTROLLING","INTEGRATED","PROGRAM_APPROVED","NOT_APPLICABLE","2026-07-26","","","governance/implementation/deployment-control/2026-07-26-release-branch-separation/PRODUCTION_RELEASE_PROCEDURE.md","repository-generated procedure","NO","GOVERNING_CONSTRAINT","Release and activation boundary","ES-CG-13;later ES-CG-12","CGP_006_INPUT_REFRESH_REQUIRED","YES","ffa866850bb8cfc994ef9c87b7d8263cea52daebe4377716c0751b7a9ebdaadc","35527480a455fdef4dbbb87f048c539143c02517c162a321779110ed340ac1fa","ff2748796bf858f49a3f85bad0578850e1deb846","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Does not authorize a production deployment."
"DACR-0033","governance/implementation/deployment-control/2026-07-26-release-branch-separation/RELEASE_BRANCH_CREATION_RECEIPT.md","Release branch creation receipt","Deployment Control","ES-AUTOMATIC-PRODUCTION-PROMOTION-CLOSURE-2026-07-26-01","CUSTODY_EVIDENCE","CUSTODY_ONLY","Records branch custody and protection state for release/production.","Receipt determination RELEASE_BRANCH_CREATED_AND_PROTECTED","SUPPORTING","INTEGRATED","NOT_APPLICABLE","NOT_APPLICABLE","2026-07-26","","","governance/implementation/deployment-control/2026-07-26-release-branch-separation/RELEASE_BRANCH_CREATION_RECEIPT.md","repository-generated receipt","NO","SUPPORTING_EVIDENCE","Release branch custody","REFERENCE_ONLY","CUSTODY_REFRESH_ONLY","NO","2dceac33d261e1c1a36c3b50df99ba53eb0fd0c78732a0094153b315936b9cb3","35527480a455fdef4dbbb87f048c539143c02517c162a321779110ed340ac1fa","ff2748796bf858f49a3f85bad0578850e1deb846","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Records custody only; procedure carries the future release constraint."
"DACR-0034","governance/implementation/deployment-control/2026-07-26-release-branch-separation/VERCEL_PRODUCTION_BRANCH_CONTROL_RECEIPT.md","Vercel production branch control receipt","Deployment Control","ES-AUTOMATIC-PRODUCTION-PROMOTION-CLOSURE-2026-07-26-01","CUSTODY_EVIDENCE","CUSTODY_ONLY","Records Vercel production branch tracking separation and non-authorization boundary.","Receipt determination VERCEL_PRODUCTION_BRANCH_TRACKING_SEPARATED","SUPPORTING","INTEGRATED","NOT_APPLICABLE","NOT_APPLICABLE","2026-07-26","","","governance/implementation/deployment-control/2026-07-26-release-branch-separation/VERCEL_PRODUCTION_BRANCH_CONTROL_RECEIPT.md","repository-generated receipt","NO","SUPPORTING_EVIDENCE","Provider custody","REFERENCE_ONLY","CUSTODY_REFRESH_ONLY","NO","7dacb07b2ffa96a5e473b893d601737da1e8b1cd54266b5ef98ad2ff08419194","35527480a455fdef4dbbb87f048c539143c02517c162a321779110ed340ac1fa","ff2748796bf858f49a3f85bad0578850e1deb846","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","No secret values read or disclosed."
"DACR-0035","governance/implementation/deployment-control/2026-07-26-release-branch-separation/RENDER_PRODUCTION_DEPLOYMENT_CONTROL_RECEIPT.md","Render production deployment control receipt","Deployment Control","ES-AUTOMATIC-PRODUCTION-PROMOTION-CLOSURE-2026-07-26-01","CUSTODY_EVIDENCE","CUSTODY_ONLY","Records Render service branch separation and observed service-update deployment custody.","Receipt determination RENDER_DEPLOYMENT_SOURCE_SEPARATED_TO_RELEASE_BRANCH","SUPPORTING","INTEGRATED","NOT_APPLICABLE","NOT_APPLICABLE","2026-07-26","","","governance/implementation/deployment-control/2026-07-26-release-branch-separation/RENDER_PRODUCTION_DEPLOYMENT_CONTROL_RECEIPT.md","repository-generated receipt","NO","SUPPORTING_EVIDENCE","Provider custody","REFERENCE_ONLY","CUSTODY_REFRESH_ONLY","NO","6493fe23c9894619edbe5dd2826566daf533c736823c2536ae58697b9ed50ab3","35527480a455fdef4dbbb87f048c539143c02517c162a321779110ed340ac1fa","ff2748796bf858f49a3f85bad0578850e1deb846","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Service retargeting recorded; no new product release authority."
"DACR-0036","governance/implementation/deployment-control/2026-07-26-release-branch-separation/DEPLOYMENT_CONTROL_SHA256SUMS.txt","Deployment-control checksum ledger","Deployment Control","ES-AUTOMATIC-PRODUCTION-PROMOTION-CLOSURE-2026-07-26-01","CUSTODY_EVIDENCE","CUSTODY_ONLY","Records hashes for the six-file deployment-control package.","DEPLOYMENT_CONTROL_SHA256SUMS.txt","SUPPORTING","INTEGRATED","NOT_APPLICABLE","NOT_APPLICABLE","2026-07-26","","","governance/implementation/deployment-control/2026-07-26-release-branch-separation/DEPLOYMENT_CONTROL_SHA256SUMS.txt","repository-generated checksum ledger","NO","SUPPORTING_EVIDENCE","Checksum evidence","REFERENCE_ONLY","CUSTODY_REFRESH_ONLY","NO","35527480a455fdef4dbbb87f048c539143c02517c162a321779110ed340ac1fa","","ff2748796bf858f49a3f85bad0578850e1deb846","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Ledger excludes itself."
"DACR-0037","governance/implementation/code-guides/receipts/CGP_006_REPOSITORY_INTEGRATION_RECEIPT.md","CGP-006 repository integration receipt","Code Guide Program","ES-CGP-006-CONTROLLED-INITIATION-2026-07-26","CUSTODY_EVIDENCE","CUSTODY_ONLY","Records CGP-006 repository accession and confirms no drafting authority by merge alone.","Receipt path and tracker rows","SUPPORTING","INTEGRATED","NOT_APPLICABLE","NOT_APPLICABLE","0.6.0","","","governance/implementation/code-guides/receipts/CGP_006_REPOSITORY_INTEGRATION_RECEIPT.md","repository receipt","NO","SUPPORTING_EVIDENCE","CGP-006 custody","ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10","CUSTODY_REFRESH_ONLY","NO","","ae7a1c72c92d4f8ed7cfacf5802ec24cce560adc49195345308928fcbb227ac2","3eb6825091241709f255b8ccf296987fa9b20724","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","CGP-006 remains blocked by document classification gate."
"DACR-0038","governance/implementation/code-guides/registers/CODE_GUIDE_PROGRAM_TRACKER.csv","Code Guide program tracker","Code Guide Program","CGP","GOVERNANCE_AUTHORITY","GOVERNANCE_WITH_NORMATIVE_EFFECT","Tracker controls prompt status, guide maturity, blockers, next action, adoption, accession, and work status.","CGP-006 and Wave 1 guide rows block candidate drafting on DOCUMENT_CLASSIFICATION_GATE","CONTROLLING","INTEGRATED","PROGRAM_APPROVED","NOT_APPLICABLE","MIXED","","","governance/implementation/code-guides/registers/CODE_GUIDE_PROGRAM_TRACKER.csv","repository tracker","NO","GOVERNING_CONSTRAINT","CGP lifecycle","ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10","CGP_006_INPUT_REFRESH_REQUIRED","YES","","","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Current tracker blocks CGP-006 on document classification gate."
"DACR-0039","governance/implementation/code-guides/registers/CODE_GUIDE_DEPENDENCY_REGISTER.csv","Code Guide dependency register","Code Guide Program","CGP","GOVERNANCE_AUTHORITY","GOVERNANCE_WITH_NORMATIVE_EFFECT","Defines Wave 1 dependency order and CGP-006 dependency on accepted CGP-005 freeze.","CGDEP-0014; ES-CG sequence rows","CONTROLLING","INTEGRATED","PROGRAM_APPROVED","NOT_APPLICABLE","MIXED","","","governance/implementation/code-guides/registers/CODE_GUIDE_DEPENDENCY_REGISTER.csv","repository dependency register","NO","GOVERNING_CONSTRAINT","CGP lifecycle","ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10","CGP_006_INPUT_REFRESH_REQUIRED","YES","","","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Drafting order is ES-CG-00 -> ES-CG-01 -> ES-CG-13 -> ES-CG-10."
"DACR-0040","governance/implementation/code-guides/packages/CGP_005_CREATED_ARTIFACT_MANIFEST.json","CGP-005 package manifest","Code Guide Program","ES-CGP-005-WAVE-1-SOURCE-FREEZE-2026-07-26","CUSTODY_EVIDENCE","CUSTODY_ONLY","Records package completeness for CGP-005 artifacts.","CGP-005 repository integration receipt and checksum ledger","SUPPORTING","INTEGRATED","NOT_APPLICABLE","NOT_APPLICABLE","0.5.0","","","governance/implementation/code-guides/packages/CGP_005_CREATED_ARTIFACT_MANIFEST.json","repository package manifest","YES","SUPPORTING_EVIDENCE","Package custody","REFERENCE_ONLY","CUSTODY_REFRESH_ONLY","NO","","e32589f37eee638fd72f0c8ca9efd214bbf06f364643667a79c9dbe411bc5685","ff2748796bf858f49a3f85bad0578850e1deb846","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Does not itself define selected source content."
"DACR-0041","governance/implementation/code-guides/packages/CGP_005_SHA256SUMS.txt","CGP-005 checksum ledger","Code Guide Program","ES-CGP-005-WAVE-1-SOURCE-FREEZE-2026-07-26","CUSTODY_EVIDENCE","CUSTODY_ONLY","Records checksums for CGP-005 package artifacts.","CGP-005 checksum ledger hash e32589f37eee638fd72f0c8ca9efd214bbf06f364643667a79c9dbe411bc5685","SUPPORTING","INTEGRATED","NOT_APPLICABLE","NOT_APPLICABLE","0.5.0","","","governance/implementation/code-guides/packages/CGP_005_SHA256SUMS.txt","repository checksum ledger","YES","SUPPORTING_EVIDENCE","Checksum evidence","REFERENCE_ONLY","CUSTODY_REFRESH_ONLY","NO","e32589f37eee638fd72f0c8ca9efd214bbf06f364643667a79c9dbe411bc5685","","ff2748796bf858f49a3f85bad0578850e1deb846","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Ledger excludes itself where documented."
