artifact_id,artifact_name,artifact_class,primary_portfolio_position,dependent_positions,component,lifecycle_status,founder_approval_status,implementation_authority,supersedes,superseded_by,path
HORSE-TRANSFER-CANON,Master Horse Transfer and Continuity Policy,CONSTITUTIONAL_OR_CANONICAL_SOURCE,04,01;02;03;07;09;10,CANONICAL_SOURCE,ADOPTED_AND_LOCKED,FOUNDER_APPROVED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/MASTER_HORSE_TRANSFER_AND_CONTINUITY_POLICY.md
SEARCH-CANON-V2.0,"Master Search, Discovery, Ranking, and Retrieval Model",CONSTITUTIONAL_OR_CANONICAL_SOURCE,05,01;02;03;04;06;07;08;09;10,CANONICAL_SOURCE,ADOPTED_AND_LOCKED,FOUNDER_ADOPTED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/adopted_sources/MASTER_SEARCH_DISCOVERY_RANKING_AND_RETRIEVAL_MODEL_V2_0_ADOPTED_SOURCE.md
PLATFORM-OPS-CANON-V2.0,"Master Platform Operations, Reliability, and Release Model",CONSTITUTIONAL_OR_CANONICAL_SOURCE,NONE,01;02;03;04;05;06;07;08;09;10,CANONICAL_SOURCE,ADOPTED_AND_LOCKED,FOUNDER_ADOPTED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/adopted_sources/MASTER_PLATFORM_OPERATIONS_RELIABILITY_AND_RELEASE_MODEL_V2_0_ADOPTED_SOURCE.md
RESILIENCE-CANON-V1.0,"Master Platform Resilience, Backup, and Recovery Model",CONSTITUTIONAL_OR_CANONICAL_SOURCE,NONE,01;02;03;04;05;06;07;08;09;10,CANONICAL_SOURCE,ADOPTED_AND_LOCKED,FOUNDER_ADOPTED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/adopted_sources/MASTER_PLATFORM_RESILIENCE_BACKUP_AND_RECOVERY_OPERATIONAL_MODEL_V1_0_ADOPTED_SOURCE.md
INCIDENT-RESPONSE-CANON-V1.0,Master Security Incident Response and Disclosure Model,CONSTITUTIONAL_OR_CANONICAL_SOURCE,NONE,01;02;03;04;05;06;07;08;09;10,CANONICAL_SOURCE,ADOPTED_AND_LOCKED,FOUNDER_ADOPTED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/adopted_sources/MASTER_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_MODEL_V1_0_ADOPTED_SOURCE.md
SAFEGUARDING-CANON-V1.2,"Master Minor, Guardianship, Safeguarding, and Protected Participant Model",CONSTITUTIONAL_OR_CANONICAL_SOURCE,08,01;03;04;06;07;10,CANONICAL_SOURCE,ADOPTED_AND_LOCKED,FOUNDER_ADOPTED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/adopted_sources/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE.md
FINANCIAL-TRUTH-CANON-V2.1,Master Financial Truth and Responsibility Model,CONSTITUTIONAL_OR_CANONICAL_SOURCE,09,01;02;03;04;10,CANONICAL_SOURCE,REPOSITORY_CANONICAL_SOURCE_LIFECYCLE_NOT_REEVALUATED,NO_NEW_APPROVAL_ASSERTED_BY_TASK_A,FALSE,NONE,NONE,docs/canon/MASTER_FINANCIAL_TRUTH_AND_RESPONSIBILITY_MODEL_V2_1.md
PRODUCT-VISION-CANON,Master Product Vision,CONSTITUTIONAL_OR_CANONICAL_SOURCE,05,01;02;03;04;06;07;08;09;10,CANONICAL_SOURCE,ADOPTED_AND_LOCKED,FOUNDER_APPROVED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/MASTER_PRODUCT_VISION.md
CONFIGURATION-CANON-V2.0,Master Configuration and Feature Flag Governance Model,CONSTITUTIONAL_OR_CANONICAL_SOURCE,NONE,01;02;03;04;05;06;07;08;09;10,CANONICAL_SOURCE,ADOPTED_AND_LOCKED,FOUNDER_ADOPTED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/adopted_sources/MASTER_CONFIGURATION_AND_FEATURE_FLAG_GOVERNANCE_MODEL_V2_0_ADOPTED_SOURCE.md
DATA-PROTECTION-CANON-V1.0,"Master Data Protection, Encryption, and Key Management Model",CONSTITUTIONAL_OR_CANONICAL_SOURCE,NONE,01;02;03;04;05;06;07;08;09;10,CANONICAL_SOURCE,ADOPTED_AND_LOCKED,FOUNDER_ADOPTED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/adopted_sources/MASTER_DATA_PROTECTION_ENCRYPTION_AND_KEY_MANAGEMENT_MODEL_V1_0_ADOPTED_SOURCE.md
MEDIA-CANON-V2.1,Master Media Files and Digital Asset Governance Model,CONSTITUTIONAL_OR_CANONICAL_SOURCE,10,01;02;03;04;05;06;07;08;09,CANONICAL_SOURCE,ADOPTED_AND_LOCKED,FOUNDER_ADOPTED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/adopted_sources/MASTER_MEDIA_FILES_AND_DIGITAL_ASSET_GOVERNANCE_MODEL_V2_1_ADOPTED_SOURCE.md
DEVELOPER-PLATFORM-CANON-V2.0,Master Developer Platform and Integration Governance Model,CONSTITUTIONAL_OR_CANONICAL_SOURCE,NONE,01;02;03;04;05;06;07;08;09;10,CANONICAL_SOURCE,ADOPTED_AND_LOCKED,FOUNDER_ADOPTED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/adopted_sources/MASTER_DEVELOPER_PLATFORM_AND_INTEGRATION_GOVERNANCE_MODEL_V2_0_ADOPTED_SOURCE.md
EXTENSIBILITY-CANON-V2.0,Master Platform Extensibility and Plugin Governance Model,CONSTITUTIONAL_OR_CANONICAL_SOURCE,NONE,01;02;03;04;05;06;07;08;09;10,CANONICAL_SOURCE,ADOPTED_AND_LOCKED,FOUNDER_ADOPTED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/adopted_sources/MASTER_PLATFORM_EXTENSIBILITY_AND_PLUGIN_GOVERNANCE_MODEL_V2_0_ADOPTED_SOURCE.md
VENDOR-SECURITY-CANON-V2.0,Master Vendor Security and Supply Chain Model,CONSTITUTIONAL_OR_CANONICAL_SOURCE,NONE,01;02;03;04;05;06;07;08;09;10,CANONICAL_SOURCE,ADOPTED_AND_LOCKED,FOUNDER_ADOPTED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/adopted_sources/MASTER_VENDOR_SECURITY_AND_SUPPLY_CHAIN_MODEL_V2_0_ADOPTED_SOURCE.md
REPORTING-CANON-V2.0,"Master Reporting, Analytics, and Business Intelligence Model",CONSTITUTIONAL_OR_CANONICAL_SOURCE,NONE,01;02;03;04;05;06;07;08;09;10,CANONICAL_SOURCE,FOUNDER_APPROVED_ADOPTED_AND_LOCKED,FOUNDER_APPROVED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/founder_approved_sources/MASTER_REPORTING_ANALYTICS_AND_BUSINESS_INTELLIGENCE_MODEL_V2_0_FOUNDER_APPROVED.md
NON-PIA-FALSE-POSITIVE-PACKAGE-LOCK,Frontend dependency lock false-positive,NON_PIA_UNRELATED,NONE,NONE,NONE,UNRELATED_DEPENDENCY_LOCK,NOT_APPLICABLE,FALSE,NONE,NONE,frontend/package-lock.json
