Record ID,Layer,Constitutional Family,Exact / Proposed Identifier,Controlling Version,Control Basis,Exact Workspace Source,File Library / Evidence Reference,Repository Path,SHA-256,Source Byte Status,Founder Acceptance,Adoption,Repository Lock,Supersession / Exception,Normalized Lifecycle,Evidence Classification,Unresolved Evidence Class,Required C0 / Later Action,Implementation Authority,Production Authority,Public Claim Authority,Public Launch Authority,Notes
C0-036,L4,Master Financial Truth and Responsibility Model,MASTER_FINANCIAL_TRUTH_AND_RESPONSIBILITY_MODEL_V2_1,V2.1,Founder-approved controlled adoption and lock directive; terminal repository lock unverified,,Financial Truth V2.1 presentation/source and founder directive,UNRESOLVED,,SOURCE_BYTES_NOT_MOUNTED,YES,REPORTED / DIRECTIVE PRESENT,DIRECTIVE PRESENT; TERMINAL LOCK UNVERIFIED,,FOUNDER_APPROVED_ADOPTION_LOCK_DIRECTIVE_REPOSITORY_LOCK_UNVERIFIED,LIFECYCLE_EVIDENCE_ONLY,UE-01 EXACT SOURCE ABSENT; UE-03 TERMINAL LOCK CHECKSUM ABSENT,"Locate exact canon source, directive, terminal lock record and checksum.",FALSE,FALSE,FALSE,FALSE,
C0-037,L4,"Master Equine Health, Welfare, Medical Record, and Clinical Support Model",MASTER_EQUINE_HEALTH_WELFARE_MEDICAL_RECORD_AND_CLINICAL_SUPPORT_MODEL,NOT YET DRAFTED,Founder controlled-completion authorization C3,,,UNRESOLVED,,DRAFT_REQUIRED,NOT YET,NO,NO,,AUTHORIZED_FOR_CONTROLLED_DRAFTING,FOUNDER_DRAFT_AUTHORIZATION,UE-06 DEDICATED CANON ABSENT,"Draft in C3; establish exact title, identifier, version and ownership boundaries.",FALSE,FALSE,FALSE,FALSE,
C0-038,L5,Master External Architecture and Adapter Model,MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_1,V2.1,Newest-version rule and cross-canon reconciliation,/mnt/data/c0_source_reconciliation/extracted/EquineSync_Cross_Canon_Reconciliation_Package_V1_0/equinesync_cross_canon_reconciliation/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_1.md,,UNRESOLVED,ede6456d35f0629182fbd7f063d978ec5b10503bafa5695697e39f7618ebac23,EXACT_PACKAGE_SOURCE,YES,V2.0 REPORTED ADOPTED; V2.1 NOT ESTABLISHED,V2.0 REPORTED LOCKED; V2.1 NOT ESTABLISHED,V2.1 controls substantively; V2.0 lifecycle history preserved,FOUNDER_ACCEPTED_SUCCESSOR_ADOPTION_LOCK_PENDING,VERIFIED_PACKAGE_SOURCE_WITH_PREDECESSOR_LIFECYCLE,UE-02 SUCCESSOR ADOPTION/LOCK EVIDENCE ABSENT,Verify repository path and reconcile predecessor adoption/lock to V2.1 successor status.,FALSE,FALSE,FALSE,FALSE,
C0-039,L5,"Master Developer, Platform, and Integration Governance Model",MASTER_DEVELOPER_PLATFORM_AND_INTEGRATION_GOVERNANCE_MODEL_V2_1,V2.1,Newest-version rule and cross-canon reconciliation,/mnt/data/c0_source_reconciliation/extracted/EquineSync_Cross_Canon_Reconciliation_Package_V1_0/equinesync_cross_canon_reconciliation/MASTER_DEVELOPER_PLATFORM_AND_INTEGRATION_GOVERNANCE_MODEL_V2_1.md,,UNRESOLVED,6aa4d6f805ade4367bb62d84ace0cec3151f68e989b596b05b7f14bd2e5d3186,EXACT_PACKAGE_SOURCE,YES,NOT ESTABLISHED,NOT ESTABLISHED,Supersedes V2.0 substantively,FOUNDER_ACCEPTED_CONTROLLED_ADOPTION_AND_LOCK_PENDING,VERIFIED_PACKAGE_SOURCE,UE-02 REPOSITORY LIFECYCLE EVIDENCE ABSENT,Verify repository path and adoption/lock evidence.,FALSE,FALSE,FALSE,FALSE,
C0-040,L5,Master Platform Extensibility and Plugin Governance Model,MASTER_PLATFORM_EXTENSIBILITY_AND_PLUGIN_GOVERNANCE_MODEL_V2_1,V2.1,Newest-version rule and cross-canon reconciliation,/mnt/data/c0_source_reconciliation/extracted/EquineSync_Cross_Canon_Reconciliation_Package_V1_0/equinesync_cross_canon_reconciliation/MASTER_PLATFORM_EXTENSIBILITY_AND_PLUGIN_GOVERNANCE_MODEL_V2_1.md,,UNRESOLVED,f656c4b1192ac4f99af5518d709717393d118db5df6ea79076fc19f1e9e8f7ae,EXACT_PACKAGE_SOURCE,YES,NOT ESTABLISHED,NOT ESTABLISHED,Supersedes V2.0 substantively,FOUNDER_ACCEPTED_CONTROLLED_ADOPTION_AND_LOCK_PENDING,VERIFIED_PACKAGE_SOURCE,UE-02 REPOSITORY LIFECYCLE EVIDENCE ABSENT,Verify repository path and adoption/lock evidence.,FALSE,FALSE,FALSE,FALSE,
C0-041,L5,Master Vendor Security and Supply Chain Model,MASTER_VENDOR_SECURITY_AND_SUPPLY_CHAIN_MODEL_V2_0,V2.0,Founder accepted; source located in File Library,,MASTER_VENDOR_SECURITY_AND_SUPPLY_CHAIN_MODEL_V2_0_FOUNDER_ACCEPTED.docx,UNRESOLVED,,FILE_LIBRARY_SOURCE_LOCATED,YES,PENDING,PENDING,,FOUNDER_ACCEPTED_CONTROLLED_ADOPTION_AND_LOCK_PENDING,LOCATED_FILE_LIBRARY_SOURCE,UE-03 CHECKSUM AND REPOSITORY PATH ABSENT,Mount exact bytes; compute checksum; verify lifecycle evidence.,FALSE,FALSE,FALSE,FALSE,
C0-042,L5,Master Configuration and Feature Flag Governance Model,MASTER_CONFIGURATION_AND_FEATURE_FLAG_GOVERNANCE_MODEL_V2_0,V2.0,Newest-version rule; source located in File Library,,MASTER_CONFIGURATION_AND_FEATURE_FLAG_GOVERNANCE_MODEL_V2_0.docx,UNRESOLVED,,FILE_LIBRARY_SOURCE_LOCATED,YES UNDER NEWEST-VERSION RULE,UNRESOLVED,UNRESOLVED,,FOUNDER_ACCEPTED_SOURCE_CHECKSUM_UNVERIFIED,LOCATED_FILE_LIBRARY_SOURCE,UE-03 CHECKSUM AND REPOSITORY PATH ABSENT,Mount source bytes; compute checksum; verify adoption and lock evidence.,FALSE,FALSE,FALSE,FALSE,
C0-043,L5,"Master Platform Operations, Reliability, and Release Model",MASTER_PLATFORM_OPERATIONS_RELIABILITY_AND_RELEASE_MODEL_V2_0,V2.0,Newest-version rule; controlled candidate referenced in inventory,,Governance Canon Standardization Inventory V1.0 and platform operations source references,UNRESOLVED,,EXACT_SOURCE_NOT_LOCATED,YES UNDER NEWEST-VERSION RULE IF SOURCE VERIFIED,UNRESOLVED,UNRESOLVED,,SOURCE_AND_LIFECYCLE_UNRESOLVED,FAMILY_REFERENCE_ONLY,UE-01 EXACT SOURCE ABSENT,"Locate exact V2.0 source, founder evidence, repository path and checksum.",FALSE,FALSE,FALSE,FALSE,
C0-044,L5,Native Offline Synchronization Canon and Locked Readiness Instruments,NATIVE_OFFLINE_SYNCHRONIZATION_CANON_AND_LOCKED_READINESS_INSTRUMENTS,Multiple / readiness package,Wave 2 and native offline readiness records,,NATIVE_OFFLINE_SYNC_FOUNDER_ACCEPTANCE and locked readiness instruments,UNRESOLVED,,PARTIAL_SOURCE_SET,YES / SCOPE-SPECIFIC,NOT A SINGLE CANON DETERMINATION,WAVES 0-2 REPORTED LOCKED,,LOCKED_READINESS_PACKAGE_SOURCE_SET_REQUIRED,PARTIAL_PROGRAM_EVIDENCE,UE-04 INCOMPLETE EVIDENCE SET,"Locate exact offline canon, readiness acceptance, P2 register, manifests and checksums.",FALSE,FALSE,FALSE,FALSE,
C0-045,L6,Master EquineSync Implementation Atlas and Authorized RF Packages,MASTER_EQUINESYNC_IMPLEMENTATION_ATLAS_V1_0,V1.0,"Reported adopted for planning, not locked",,MEIA adoption and planning records,UNRESOLVED,,SOURCE_BYTES_NOT_MOUNTED,YES,ADOPTED FOR PLANNING,NOT LOCKED,,ADOPTED_PLANNING_ATLAS_NOT_LOCKED,LIFECYCLE_EVIDENCE_ONLY,UE-01 EXACT SOURCE ABSENT; UE-03 CHECKSUM ABSENT,"Locate exact Atlas source, adoption report, repository path and checksum.",FALSE,FALSE,FALSE,FALSE,"Atlas does not create constitutional, implementation, runtime, production or launch authority by itself."
C0-046,COMPANION,Governance Requirement Index,EQUINESYNC_GOVERNANCE_REQUIREMENT_INDEX,V1.1 baseline reported,Companion review memo,,Governance Companion Artifacts Review Memorandum V1.1/V1.2,UNRESOLVED,,SOURCE_NOT_MOUNTED,AUTHORIZED FOR CONTROLLED COMPLETION,NOT ADOPTED,NOT LOCKED,,CONTROLLED_COMPLETION_SOURCE_REQUIRED,LIFECYCLE_EVIDENCE_ONLY,UE-01 EXACT SOURCE ABSENT,Locate exact 60-requirement artifact and validate IDs/source mappings.,FALSE,FALSE,FALSE,FALSE,
C0-047,COMPANION,Requirement Traceability Matrix,EQUINESYNC_REQUIREMENT_TRACEABILITY_MATRIX,V1.1 baseline reported,Companion review memo,,Governance Companion Artifacts Review Memorandum V1.1/V1.2,UNRESOLVED,,SOURCE_NOT_MOUNTED,AUTHORIZED FOR CONTROLLED COMPLETION,NOT ADOPTED,NOT LOCKED,,CONTROLLED_COMPLETION_SOURCE_REQUIRED,LIFECYCLE_EVIDENCE_ONLY,UE-01 EXACT SOURCE ABSENT,Locate exact 60-row RTM and validate one-to-one requirement mapping.,FALSE,FALSE,FALSE,FALSE,
